Model,RMSE,R²,Dir.Acc
Lasso,0.03293830467965894,0.7179313913520886,94.91525423728814
Stoch Lasso,0.032956221043955805,0.7176244527630812,94.91525423728814
Ensemble Stoch,0.03321392045532143,0.7131911462256824,94.91525423728814
Stoch ElasticNet,0.0332142296614594,0.7131858060869938,94.91525423728814
Ridge,0.03351005707362255,0.7080539481462282,94.91525423728814
OLS,0.033597891956981214,0.7065214736123293,94.91525423728814
CV Stoch Lasso,0.0339252205578614,0.700775168544732,94.91525423728814
Bagging Stoch,0.03449409358904027,0.6906559649640793,94.91525423728814
Poly Stoch Lasso,0.04297585528291493,0.5198230281535652,93.22033898305084
Adaptive Stoch,0.052487023293283995,0.28376398053137497,96.61016949152543
